channelGrouping;date;fullVisitorId;visitNumber;visitStartTime;browser;operatingSystem;isMobile;city;source;hits;pageviews;newVisits;transactionRevenue;year;month;quarterMonth;day;weekday;hour;Classifier
4;32;9674781571160116268;1;1001;5;9;False;250;23;1;1;True;0.0;2016;9;3;2;4;8;0
4;32;8590648239310839049;1;1019;5;6;False;295;23;1;1;True;0.0;2016;9;3;2;4;17;0
1;32;9772828344252850532;1;1025;5;6;False;43;3;1;1;True;0.0;2016;9;3;2;4;22;0
4;32;1350700416054916432;2;1032;18;11;True;295;23;1;1;False;0.0;2016;9;3;2;4;5;0
4;32;1350700416054916432;1;1014;18;11;True;295;23;5;4;True;0.0;2016;9;3;2;4;15;0
4;32;9874029322760071744;1;1009;5;9;False;43;23;7;5;True;0.0;2016;9;3;2;4;14;0
4;32;9443838101670317185;2;1017;5;9;False;295;23;19;15;False;0.0;2016;9;3;2;4;16;0
2;32;4720137602861399516;1;1010;5;1;True;295;0;27;19;True;0.0;2016;9;3;2;4;14;0
4;32;1350700416054916432;3;1033;18;11;True;295;23;49;32;False;0.0;2016;9;3;2;4;6;0
7;32;5990626540303882402;1;1004;8;9;False;295;75;1;1;True;0.0;2016;9;3;2;4;10;0
7;32;2889887348875629065;1;1011;5;9;False;259;75;1;1;True;0.0;2016;9;3;2;4;14;0
7;32;2795438925016853302;1;1022;18;6;False;295;75;1;1;True;0.0;2016;9;3;2;4;19;0
7;32;601804348690752596;2;1016;5;1;True;295;75;2;2;False;0.0;2016;9;3;2;4;15;0
2;32;5173899854717474342;7;1007;18;6;False;246;0;1;1;False;0.0;2016;9;3;2;4;12;0
2;32;287255894561276052;1;1027;5;5;False;0;0;1;1;True;0.0;2016;9;3;2;4;2;0
2;32;508652549760110587;1;1021;5;9;False;43;0;1;1;True;0.0;2016;9;3;2;4;19;0
2;32;9727040416498750361;1;1028;5;1;True;295;0;2;2;True;0.0;2016;9;3;2;4;3;0
7;32;742117598990539506;1;1003;5;9;False;19;19;3;2;True;0.0;2016;9;3;2;4;9;0
2;32;1291435044636545756;1;1020;5;11;True;117;0;7;6;True;0.0;2016;9;3;2;4;18;0
2;32;6204329464799774645;1;1013;5;6;False;295;0;7;7;True;0.0;2016;9;3;2;4;14;0
4;32;4862622267848827616;1;1024;5;1;True;148;23;1;1;True;0.0;2016;9;3;2;4;22;0
4;32;3073924003210992303;1;1031;18;6;False;295;23;1;1;True;0.0;2016;9;3;2;4;4;0
4;32;6063599692980036041;1;1015;5;9;False;112;23;1;1;True;0.0;2016;9;3;2;4;15;0
4;32;9074060366731958391;1;1012;5;9;False;295;23;1;1;True;0.0;2016;9;3;2;4;14;0
4;32;1879908611145984989;1;1008;5;9;False;147;23;1;1;True;0.0;2016;9;3;2;4;13;0
7;32;3636008483206777034;1;1029;7;9;False;295;75;1;1;True;0.0;2016;9;3;2;4;3;0
7;32;9820692946802906714;1;1023;5;9;False;295;75;1;1;True;0.0;2016;9;3;2;4;21;0
7;32;7982249271571736511;1;1026;5;9;False;295;75;1;1;True;0.0;2016;9;3;2;4;1;0
7;32;49101279449587870;1;1018;5;9;False;0;75;1;1;True;0.0;2016;9;3;2;4;16;0
7;32;601804348690752596;3;1030;5;1;True;295;75;1;1;False;0.0;2016;9;3;2;4;3;0
7;32;7341621017251396123;1;1002;5;9;False;295;75;1;1;True;0.0;2016;9;3;2;4;9;0
7;32;4856266545000683208;1;1005;18;6;False;116;75;2;2;True;0.0;2016;9;3;2;4;11;0
7;32;2646987907639121910;1;1006;18;6;False;218;75;1;1;True;0.0;2016;9;3;2;4;12;0
4;178;2323013978231219932;1;6535;5;9;False;295;23;25;23;True;0.0;2017;1;1;26;3;20;0
7;178;1399627461553831968;1;6523;5;1;True;295;75;4;4;True;0.0;2017;1;1;26;3;16;0
3;178;6169514047682040410;1;6534;5;6;False;16;16;5;5;True;0.0;2017;1;1;26;3;20;0
5;178;3499968306023876473;1;6518;5;1;True;295;23;5;5;True;0.0;2017;1;1;26;3;13;0
6;178;9454308683632929068;1;6549;5;1;True;295;66;8;8;True;0.0;2017;1;1;26;3;6;0
2;178;2487784288196029834;3;6528;5;6;False;195;0;2;1;False;0.0;2017;1;1;26;3;18;0
6;178;6956441312658739416;4;6538;5;6;False;295;48;4;4;False;0.0;2017;1;1;26;3;22;0
4;178;6159490931111352619;1;6531;18;11;True;295;23;4;4;True;0.0;2017;1;1;26;3;19;0
2;178;2080364197050998617;10;6541;5;6;False;257;0;8;5;False;0.0;2017;1;1;26;3;1;0
6;178;105033239251579224;13;6536;5;6;False;295;48;9;9;False;0.0;2017;1;1;26;3;20;0
2;178;3539903815375643472;1;6532;5;6;False;295;0;11;8;True;0.0;2017;1;1;26;3;19;0
7;178;2632359785603615644;1;6533;5;9;False;295;75;23;18;True;0.0;2017;1;1;26;3;20;0
4;178;3994585309514868612;1;6521;5;1;True;295;23;1;1;True;0.0;2017;1;1;26;3;16;0
4;178;5366607406814363397;1;6547;5;6;False;295;23;1;1;True;0.0;2017;1;1;26;3;4;0
4;178;2206537936817258449;1;6539;5;6;False;172;23;1;1;True;0.0;2017;1;1;26;3;22;0
4;178;4231651525039048548;1;6548;5;1;True;295;23;1;1;True;0.0;2017;1;1;26;3;5;0
7;178;7986235831509283089;1;6519;5;9;False;210;61;1;1;True;0.0;2017;1;1;26;3;15;0
4;178;1319480781948287072;3;6545;5;6;False;148;23;1;1;False;0.0;2017;1;1;26;3;3;0
7;178;8530938052807229139;1;6525;18;11;True;295;75;1;1;True;0.0;2017;1;1;26;3;16;0
4;178;6032503257969798058;1;6550;5;3;False;295;23;1;1;True;0.0;2017;1;1;26;3;6;0
7;178;5686597036022995356;1;6520;5;6;False;295;75;1;1;True;0.0;2017;1;1;26;3;15;0
6;178;647564350364607473;1;6543;5;9;False;0;5;1;1;True;0.0;2017;1;1;26;3;2;0
6;178;777393653507561207;2;6526;5;9;False;257;48;1;1;False;0.0;2017;1;1;26;3;17;0
4;178;2921286108100825450;1;6516;5;9;False;295;23;1;1;True;0.0;2017;1;1;26;3;8;0
7;178;2178045875709999633;1;6546;5;9;False;295;75;3;2;True;0.0;2017;1;1;26;3;3;0
6;178;9147417933663255854;1;6540;5;3;False;172;48;3;3;True;0.0;2017;1;1;26;3;23;0
4;178;507670689503178928;1;6522;5;6;False;295;23;4;4;True;0.0;2017;1;1;26;3;16;0
2;178;2487784288196029834;2;6527;5;6;False;195;0;3;3;False;0.0;2017;1;1;26;3;17;0
4;178;5387902441009712220;1;6537;5;6;False;182;23;2;2;True;0.0;2017;1;1;26;3;21;0
2;178;3050906571889694982;1;6542;5;9;False;295;0;2;2;True;0.0;2017;1;1;26;3;1;0
6;178;3862112531187988071;2;6524;5;5;False;295;48;2;2;False;0.0;2017;1;1;26;3;16;0
7;178;7580041175663416062;1;6544;5;9;False;295;75;1;1;True;0.0;2017;1;1;26;3;3;0
7;178;3951026621623283344;1;6529;5;9;False;295;75;1;1;True;0.0;2017;1;1;26;3;19;0
4;178;2944401739315400596;1;6517;18;11;True;295;23;1;1;True;0.0;2017;1;1;26;3;12;0
7;178;1447734427605760986;1;6530;7;9;False;295;75;2;2;True;0.0;2017;1;1;26;3;19;0
4;326;8657607224395495904;1;11100;9;9;False;295;23;1;1;True;0.0;2017;6;2;23;4;18;0
4;326;911354305836469695;1;11108;18;11;True;295;23;1;1;True;0.0;2017;6;2;23;4;21;0
2;326;3635673416128544815;1;11114;5;5;False;295;0;1;1;True;0.0;2017;6;2;23;4;6;0
2;326;6686711041741634370;1;11096;5;5;False;295;0;1;1;True;0.0;2017;6;2;23;4;15;0
2;326;8447019937836470399;1;11089;18;6;False;0;0;1;1;True;0.0;2017;6;2;23;4;11;0
5;326;3875836946905121057;1;11091;18;11;True;231;23;1;1;True;0.0;2017;6;2;23;4;13;0
1;326;5148729462429480286;1;11107;5;6;False;295;3;1;1;True;0.0;2017;6;2;23;4;21;0
3;326;8497076298632093486;4;11092;5;6;False;271;16;1;1;False;0.0;2017;6;2;23;4;13;0
3;326;4383052577498653972;3;11103;5;1;True;295;16;1;1;False;0.0;2017;6;2;23;4;20;0
3;326;4383052577498653972;4;11104;5;1;True;295;16;1;1;False;0.0;2017;6;2;23;4;20;0
4;326;3261693116757043388;1;11094;19;11;True;295;23;1;1;True;0.0;2017;6;2;23;4;14;0
4;326;4053482258225682826;1;11093;18;11;True;161;23;1;1;True;0.0;2017;6;2;23;4;14;0
4;326;5321559795401399529;1;11106;18;11;True;295;23;1;1;True;0.0;2017;6;2;23;4;21;0
4;326;7758723588349263779;1;11099;8;9;False;295;23;1;1;True;0.0;2017;6;2;23;4;17;0
4;326;5038257034908741137;1;11095;5;11;True;14;23;1;1;True;0.0;2017;6;2;23;4;15;0
4;326;5779161223921474634;1;11111;18;11;True;295;23;2;2;True;0.0;2017;6;2;23;4;3;0
4;326;9063964941694004920;1;11105;5;3;False;295;23;2;2;True;0.0;2017;6;2;23;4;20;0
6;326;7663984548797963088;1;11088;5;6;False;152;48;2;2;True;0.0;2017;6;2;23;4;7;0
4;326;1411618450861216262;1;11098;5;6;False;230;23;2;2;True;0.0;2017;6;2;23;4;17;0
2;326;48993001685981781;1;11101;5;6;False;295;0;2;2;True;0.0;2017;6;2;23;4;19;0
6;326;4258604846900689181;3;11102;5;3;False;257;48;3;3;False;0.0;2017;6;2;23;4;20;0
4;326;3157760197536076018;1;11113;5;9;False;295;23;3;2;True;0.0;2017;6;2;23;4;5;0
4;326;5804579632399616092;2;11112;8;6;False;295;23;3;3;False;0.0;2017;6;2;23;4;3;0
4;326;5473444903129342269;1;11097;9;9;False;111;23;3;3;True;0.0;2017;6;2;23;4;16;0
4;326;2177349313274700327;1;11115;5;6;False;182;23;9;5;True;0.0;2017;6;2;23;4;6;0
